QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",125263-86255:Josh Whyle,125263-86255,TE,Josh,Josh Whyle,Whyle,2.0166667302449546,6,4200,GB@CHI,GB,CHI,,,,,,TE/FLEX
"","","","","","","","","","",125263-12527:Chicago Bears,125263-12527,D,Chicago,Chicago Bears,Bears,6.764705882352941,17,4200,GB@CHI,CHI,GB,,,,,,DEF
"","","","","","","","","","",125263-91488:Chris Brooks,125263-91488,RB,Chris,Chris Brooks,Brooks,1.746666717529297,15,4100,GB@CHI,GB,CHI,,,,,,RB/FLEX
"","","","","","","","","","",125263-172646:Trevor Etienne,125263-172646,RB,Trevor,Trevor Etienne,Etienne,0.5999999887803021,17,4100,LAR@CAR,CAR,LAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-71032:Devin Duvernay,125263-71032,WR,Devin,Devin Duvernay,Duvernay,0.21176470027250402,17,4100,GB@CHI,CHI,GB,,,,,,WR/FLEX
"","","","","","","","","","",125263-83138:Ross Dwelley,125263-83138,TE,Ross,Ross Dwelley,Dwelley,0.42500001192092896,4,4100,LAR@CAR,CAR,LAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-158983:Ja'Tavion Sanders,125263-158983,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,3.590909090909091,11,4000,LAR@CAR,CAR,LAR,IR,Lower leg,,,,TE/FLEX
"","","","","","","","","","",125263-113160:Jakobie Keeney-James,125263-113160,WR,Jakobie,Jakobie Keeney-James,Keeney-James,2.5,1,4000,GB@CHI,GB,CHI,,,,,,WR/FLEX
"","","","","","","","","","",125263-103187:Roschon Johnson,125263-103187,RB,Roschon,Roschon Johnson,Johnson,0.5666666825612386,3,4000,GB@CHI,CHI,GB,IR,Thumb,,,,RB/FLEX
"","","","","","","","","","",125263-71444:Travis Homer,125263-71444,RB,Travis,Travis Homer,Homer,-0.04000000059604645,5,4000,GB@CHI,CHI,GB,,,,,,RB/FLEX
